timestamp,date_time,is_battery,current,voltage,battery_temperature,soc,is_heart_rate,hr,hr_conf,is_blood_oxygen,spo2,spo2_conf,is_ppg,green,red,infra_red,is_pressure,pressure,pressure_in_pa,is_skin_temperature,skin_temperature,is_ntc_temperature,ntc_temperature,is_skin_contact,skin_contact,is_accelerometer,acc_x,acc_y,acc_z,is_gyroscope,gyr_x,gyr_y,gyr_z,is_accelerometer_bosch,bosch_acc_x,bosch_acc_y,bosch_acc_z,is_gyroscope_bosch,bosch_gyr_x,bosch_gyr_y,bosch_gyr_z,is_sequence_number,seqno
1769081545404,1769081545404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,-11,2,0,0
1769081545412,1769081545412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19963
1769081545424,1769081545424,0,0,0,0,0,1,71,50,1,97,99,1,351411,12937,18877,0,0,0,0,0,0,0,0,0,1,-176,126,-975,0,0,0,0,1,-555,-581,4019,0,0,0,0,0,0
1769081545434,1769081545434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19964
1769081545444,1769081545444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,-4,3,0,0
1769081545463,1769081545463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-543,-583,4021,0,0,0,0,0,0
1769081545464,1769081545464,0,0,0,0,0,1,71,50,1,97,99,1,351497,12941,18882,0,0,0,0,0,0,0,0,0,1,-177,130,-971,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1769081545472,1769081545472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19965
1769081545479,1769081545479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19966
1769081545483,1769081545483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-4,-3,-4,0,0
1769081545502,1769081545502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19967
1769081545503,1769081545503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-541,-613,4010,0,0,0,0,0,0
1769081545504,1769081545504,0,0,0,0,0,1,71,50,1,97,99,1,351585,12945,18882,0,0,0,0,0,0,0,0,0,1,-178,125,-976,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1769081545516,1769081545516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19968
1769081545523,1769081545523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-11,3,-7,0,0
1769081545539,1769081545539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19969
1769081545543,1769081545543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-539,-584,4016,0,0,0,0,0,0
1769081545544,1769081545544,0,0,0,0,0,1,71,50,1,97,99,1,351677,12946,18885,0,0,0,0,0,0,0,0,0,1,-181,128,-975,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1769081545553,1769081545553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19970
1769081545563,1769081545563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,8,0,0,0
1769081545583,1769081545583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-551,-606,4009,0,0,0,0,0,0
1769081545584,1769081545584,0,0,0,0,0,1,71,50,1,97,99,1,351792,12947,18886,0,0,0,0,0,0,0,0,0,1,-178,128,-977,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1769081545603,1769081545603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-3,14,0,0,0
1769081545623,1769081545623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-566,-598,4010,0,0,0,0,0,0
1769081545624,1769081545624,0,0,0,0,0,1,71,50,1,97,99,1,351896,12952,18892,0,0,0,0,0,0,0,0,0,1,-172,123,-974,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1769081545642,1769081545642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,-2,0,0
1769081545662,1769081545662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-548,-593,4015,0,0,0,0,0,0
1769081545664,1769081545664,0,0,0,0,0,1,71,75,1,97,99,1,351998,12954,18901,0,0,0,0,0,0,0,0,0,1,-185,128,-976,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1769081545682,1769081545682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,-2,-1,0,0
1769081545702,1769081545702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-545,-588,4016,0,0,0,0,0,0
1769081545704,1769081545704,0,0,0,0,0,1,71,75,1,97,99,1,352124,12955,18904,0,0,0,0,0,0,0,0,0,1,-187,128,-978,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1769081545722,1769081545722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,-1,0,0
1769081545742,1769081545742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-550,-609,4010,0,0,0,0,0,0
1769081545744,1769081545744,0,0,0,0,0,1,71,75,1,97,99,1,352243,12953,18895,0,0,0,0,0,0,0,0,0,1,-174,126,-973,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1769081545762,1769081545762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,3,0,0
1769081545782,1769081545782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-560,-594,4014,0,0,0,0,0,0
1769081545784,1769081545784,0,0,0,0,0,1,71,75,1,97,99,1,352347,12953,18896,0,0,0,0,0,0,0,0,0,1,-178,129,-971,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1769081545802,1769081545802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,0,9,0,0
1769081545818,1769081545818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,999,99901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1769081545821,1769081545821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-550,-584,4019,0,0,0,0,0,0
1769081545824,1769081545824,0,0,0,0,0,1,71,75,1,97,99,1,352465,12955,18895,0,0,0,0,0,0,0,0,0,1,-189,123,-975,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1769081545841,1769081545841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,1,5,0,0
1769081545861,1769081545861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-550,-571,4020,0,0,0,0,0,0
1769081545864,1769081545864,0,0,0,0,0,1,71,75,1,97,99,1,352551,12954,18898,0,0,0,0,0,0,0,0,0,1,-168,122,-974,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1769081545881,1769081545881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,4,0,0,0
1769081545901,1769081545901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-554,-586,4012,0,0,0,0,0,0
1769081545904,1769081545904,0,0,0,0,0,1,71,75,1,97,99,1,352571,12951,18890,0,0,0,0,0,0,0,0,0,1,-180,126,-973,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1769081545921,1769081545921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-4,5,-1,0,0
1769081545941,1769081545941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-559,-581,4015,0,0,0,0,0,0
1769081545944,1769081545944,0,0,0,0,0,1,71,75,1,97,99,1,352549,12950,18890,0,0,0,0,0,0,0,0,0,1,-180,127,-976,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1769081545961,1769081545961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-6,2,0,0,0
1769081545975,1769081545975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19971
